data/CO_Nunn_7_NN-2008 37.8
data/CO_Stratton_24_-2011 37.3
data/CO_Rifle_23_N-2012 31.8
data/CO_Montrose_11_EN-2007 28.9
data/CO_Boulder_14_-2011 23.1
data/CO_Montrose_11_EN-2012 29.1
data/CO_Craig_30_-2012 33.7
data/CO_Nunn_7_NN-2012 37.4
data/CO_Akron_A_4_-2012 40.5
data/CO_Montrose_11_EN-2010 29.4
data/CO_Montrose_11_EN-2011 28.2
data/CO_Kim_9_WS-2011 35.7
data/CO_Stratton_24_-2012 41.3
data/GA_Watkinsville_5_SS-2005 35.6
data/CO_Craig_30_-2011 32.3
data/GA_Watkinsville_5_SS-2010 36.7
data/CO_Boulder_14_-2008 24.8
data/GA_Watkinsville_5_SS-2009 35.9
data/CO_Genoa_35_-2011 37.3
data/ID_Arco_17_S-2007 35.2
data/CO_Cortez_8_S-2008 29.7
data/CO_Saguache_2_WN-2010 31.7
data/CO_La_Junta_17_WS-2005 40.9
data/CO_Eagle_13_SS-2011 25.8
data/CO_Rocky_Ford_1_ES-2010 38.0
data/CO_Dinosaur_2_-2012 36.1
data/ID_Arco_17_S-2012 33.8
data/CO_Springfield_6_WS-2011 38.4
data/GA_Watkinsville_5_SS-2011 37.0
data/CO_Woodland_Park_14_WS-2011 28.1
data/IA_Des_Moines_17_-2011 35.0
data/GA_Watkinsville_5_SS-2007 38.7
data/GA_Watkinsville_5_SS-2006 36.4
data/CO_La_Junta_17_WS-2006 39.3
data/CO_La_Junta_17_WS-2008 40.2
data/CO_Rocky_Ford_1_ES-2012 40.3
data/CO_Woodland_Park_14_WS-2012 30.1
data/CO_Eads_16_EN-2010 37.8
data/CO_Saguache_2_WN-2011 31.3
data/IA_Des_Moines_17_-2012 39.2
data/GA_Watkinsville_5_SS-2008 36.7
data/CO_La_Junta_17_WS-2009 38.0
data/CO_La_Junta_17_WS-2012 41.4
data/ID_Arco_17_S-2010 32.6
data/CO_Genoa_35_-2012 41.4
data/CO_Dinosaur_2_-2011 34.8
data/CO_La_Junta_17_WS-2010 38.2
data/IA_Des_Moines_17_-2005 34.7
data/CO_Meeker_15_-2012 35.1
data/CO_Montrose_11_EN-2008 29.1
data/CO_Center_A_4_SS-2010 30.2
data/CO_Meeker_15_-2011 33.7
data/GA_Newton_8_-2010 38.7
data/CO_Dinosaur_2_-2008 36.2
data/CO_Dinosaur_2_-2009 35.1
data/ID_Arco_17_S-2011 32.7
data/IA_Des_Moines_17_-2009 33.3
data/CO_Eads_16_EN-2012 42.0
data/ID_Arco_17_S-2006 35.4
data/ID_Arco_17_S-2009 33.5
data/CO_Center_A_4_SS-2011 29.5
data/CO_Dinosaur_2_-2007 36.3
data/CO_Saguache_2_WN-2012 32.0
data/CO_Rocky_Ford_1_ES-2011 37.6
data/CO_Eads_16_EN-2011 39.2
data/GA_Newton_8_-2005 34.8
data/GA_Watkinsville_5_SS-2012 40.9
data/ID_Murphy_10_-2010 37.0
data/MT_St._Mary_1_SS-2004 30.1
data/MT_St._Mary_1_SS-2005 28.9
data/MT_St._Mary_1_SS-2010 28.7
data/MT_St._Mary_1_SS-2006 32.8
data/ID_Murphy_10_-2011 34.1
data/MT_St._Mary_1_SS-2007 35.2
data/ID_Murphy_10_-2012 37.7
data/MT_Lewistown_42_WS-2011 33.6
data/MT_Lewistown_42_WS-2010 32.1
data/MT_St._Mary_1_SS-2012 30.8
data/MT_St._Mary_1_SS-2008 32.7
data/MI_Chatham_1_S-2006 34.5
data/MT_Lewistown_42_WS-2012 33.7
data/IL_Shabbona_5_NN-2006 34.2
data/NC_Asheville_13_-2006 31.9
data/NC_Asheville_13_-2005 33.1
data/ME_Old_Town_2_-2010 34.3
data/MO_Chillicothe_22_EN-2006 36.6
data/MT_St._Mary_1_SS-2009 28.1
data/NC_Asheville_13_-2011 32.6
data/KY_Versailles_3_NN-2006 33.3
data/MT_Lewistown_42_WS-2009 30.2
data/NC_Asheville_13_-2009 31.5
data/MI_Chatham_1_S-2012 31.3
